,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Cmp%,xA,1/3_x,PPA,Prog_x,SCA,TklW,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Prog_y,1/3_y,CPA,Won,Prog+
96,Djavan Anderson,DF,Lazio,it Serie A,0.8,0,0.0,0.0,72.7,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,38.0,0.0,0.0,6.0,1.0,0.0,1.0,7.0
97,Elliot Anderson,MF,Newcastle Utd,eng Premier League,0.0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Felipe Anderson,"FW,MF",West Ham,eng Premier League,0.0,0,0.0,0.0,66.7,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0
99,Sebastian Andersson,FW,Koln,de Bundesliga,12.5,3,39.0,4.7,71.3,0.3,11.0,3.0,9.0,12.0,2.0,9.0,3.0,8.0,394.0,57.0,4.0,16.0,5.0,5.0,81.0,25.0
100,Nicolas Andrade,GK,Udinese,it Serie A,2.0,0,0.0,0.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Benjamin Andre,MF,Lille,fr Ligue 1,32.1,0,20.0,1.1,85.1,1.3,195.0,12.0,174.0,55.0,87.0,69.0,61.0,172.0,2442.0,41.0,28.0,149.0,42.0,2.0,92.0,323.0
102,Robert Andrich,MF,Union Berlin,de Bundesliga,28.1,5,40.0,2.5,79.1,2.2,111.0,15.0,125.0,55.0,40.0,41.0,58.0,119.0,1734.0,23.0,18.0,85.0,27.0,5.0,52.0,210.0
103,Victorien Angban,MF,Metz,fr Ligue 1,18.6,0,6.0,0.3,88.5,0.5,68.0,9.0,68.0,26.0,30.0,28.0,13.0,48.0,1038.0,10.0,22.0,65.0,19.0,0.0,10.0,133.0
104,Angel,GK,Granada,es La Liga,1.0,0,0.0,0.0,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Miguel Angel Rubio,DF,Valladolid,es La Liga,1.5,0,1.0,0.0,78.0,0.0,2.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,77.0,1.0,0.0,1.0,0.0,0.0,10.0,4.0
106,Jose Angel,DF,Eibar,es La Liga,10.0,0,2.0,0.0,74.7,0.9,43.0,14.0,51.0,15.0,10.0,16.0,12.0,29.0,775.0,4.0,10.0,47.0,21.0,1.0,17.0,98.0
