,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Cmp%,xA,1/3_x,PPA,Prog_x,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,SCA,TklW,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Prog_y,1/3_y,CPA,Won,Prog+,Season
480,Christian Celesia,DF,Torino,it Serie A,0.0,0,0.0,0.0,100.0,0.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
481,Zeki Celik,DF,Lille,fr Ligue 1,23.0,0,5.0,0.3,80.1,1.7,89.0,27.0,118.0,,,,,,,,,,,,,,,,,,,30.0,34.0,37.0,15.0,80.0,1613.0,34.0,19.0,156.0,46.0,5.0,24.0,274.0,2021
482,Fabien Centonze,DF,Metz,fr Ligue 1,28.0,0,9.0,0.4,75.6,2.3,56.0,25.0,68.0,,,,,,,,,,,,,,,,,,,42.0,53.0,61.0,45.0,134.0,1695.0,23.0,28.0,159.0,56.0,12.0,37.0,227.0,2021
483,Luca Ceppitelli,DF,Cagliari,it Serie A,13.8,2,5.0,0.4,79.8,0.1,21.0,3.0,13.0,,,,,,,,,,,,,,,,,,,6.0,12.0,30.0,17.0,37.0,670.0,9.0,0.0,19.0,6.0,0.0,33.0,32.0,2021
484,Alberto Cerri,FW,SPAL,it Serie A,4.7,1,10.0,1.2,65.3,0.7,8.0,5.0,12.0,,,,,,,,,,,,,,,,,,,11.0,1.0,1.0,1.0,4.0,189.0,27.0,9.0,21.0,9.0,2.0,19.0,33.0,2021
485,Alberto Cerri,FW,Cagliari,it Serie A,2.7,1,7.0,0.6,68.0,0.2,3.0,2.0,4.0,,,,,,,,,,,,,,,,,,,4.0,3.0,0.0,0.0,4.0,135.0,14.0,3.0,1.0,0.0,1.0,22.0,5.0,2021
486,Julian Chabot,DF,Sampdoria,it Serie A,6.3,1,1.0,0.1,86.1,0.0,13.0,0.0,13.0,,,,,,,,,,,,,,,,,,,1.0,10.0,8.0,14.0,28.0,314.0,3.0,4.0,6.0,0.0,0.0,21.0,19.0,2021
487,Florian Chabrolle,MF,Marseille,fr Ligue 1,0.2,0,0.0,0.0,87.5,0.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,2021
488,Fouad Chafik,DF,Dijon,fr Ligue 1,17.0,0,7.0,0.2,76.8,1.9,65.0,30.0,77.0,,,,,,,,,,,,,,,,,,,46.0,23.0,21.0,30.0,70.0,1077.0,4.0,17.0,96.0,28.0,1.0,11.0,173.0,2021
489,Sofian Chakla,DF,Villarreal,es La Liga,2.0,0,1.0,0.1,83.2,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,107.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2021
490,Nathaniel Chalobah,MF,Watford,eng Premier League,10.3,0,9.0,0.4,73.5,1.1,24.0,4.0,34.0,,,,,,,,,,,,,,,,,,,19.0,19.0,14.0,9.0,41.0,488.0,9.0,6.0,20.0,7.0,2.0,17.0,54.0,2021
491,Calum Chambers,DF,Arsenal,eng Premier League,12.2,1,12.0,0.7,81.2,0.7,36.0,5.0,45.0,,,,,,,,,,,,,,,,,,,17.0,18.0,21.0,13.0,38.0,1028.0,26.0,13.0,63.0,10.0,2.0,37.0,108.0,2021
492,Jhon Chancellor,DF,Brescia,it Serie A,24.9,3,13.0,2.0,87.8,0.0,18.0,1.0,26.0,,,,,,,,,,,,,,,,,,,1.0,19.0,55.0,14.0,42.0,1171.0,23.0,8.0,22.0,1.0,0.0,69.0,48.0,2021
